mjd,nu,sigma_nu,nudot,sigma_nudot
47296.0,29.9843723662,4.0,-378616.35,1.24
47327.0,29.9833582852,5.0,-378586.88,1.89
47357.0,29.9823770003,2.0,-378574.13,0.61
47388.0,29.9813631037,5.0,-378527.08,1.53
47419.0,29.9803492921,7.0,-378504.96,1.95
47449.0,29.9793682557,2.0,-378461.86,0.5
47480.0,29.9783546206,2.0,-378438.8,0.66
47510.0,29.9773737546,1.0,-378397.4,0.33
47541.0,29.9763602994,2.0,-378365.45,0.48
47572.0,29.9753469327,3.0,-378343.0,0.86
47600.0,29.9744316797,2.0,-378306.03,0.51
47631.0,29.9734184816,2.0,-378268.07,0.59
47661.0,29.9724380238,3.0,-378264.7,0.9
47692.0,29.9714249499,4.0,-378234.45,1.61
47722.0,29.9704446685,2.0,-378176.59,0.51
47753.0,29.9694318086,1.0,-378145.88,0.17
47771.0,29.9688457897,15.0,-379222.31,12.8
47780.0,29.9685509389,3.0,-378931.17,3.8
47792.0,29.9681583254,4.0,-378502.59,2.0
47814.0,29.9674391453,3.0,-378259.81,0.86
47845.0,29.9664261485,1.0,-378170.67,0.23
47875.0,29.9654459705,1.0,-378136.48,0.26
47906.0,29.9644332383,2.0,-378097.78,0.42
47937.0,29.9634205732,1.0,-378069.37,0.48
47965.0,29.9625059864,1.0,-378042.37,0.45
47996.0,29.9614934893,8.0,-378004.16,1.49
48026.0,29.96051372,3.0,-377982.11,0.88
48057.0,29.9595013548,1.0,-377958.81,0.61
48087.0,29.9585217157,2.0,-377934.3,0.69
48118.0,29.9575095057,14.0,-377900.7,1.79
48149.0,29.9564973641,1.0,-377879.57,0.53
48179.0,29.9555179645,2.0,-377831.86,0.45
48210.0,29.9545059942,1.0,-377815.51,0.33
48240.0,29.9535267451,3.0,-377786.95,0.74
48271.0,29.9525149033,4.0,-377766.44,1.13
48302.0,29.9515031602,2.0,-377728.6,0.7
48330.0,29.9505893942,3.0,-377683.32,0.8
48361.0,29.9495778381,2.0,-377661.27,0.58
48391.0,29.948598958,2.0,-377648.16,0.56
48422.0,29.9475875421,3.0,-377606.08,0.9
48452.0,29.9466088403,1.0,-377571.23,0.3
48483.0,29.9455975816,1.0,-377545.66,0.42
48514.0,29.9445864076,1.0,-377519.18,0.31
48544.0,29.9436079304,1.0,-377480.18,0.34
48575.0,29.9425969194,2.0,-377447.54,0.48
48605.0,29.9416185935,2.0,-377426.6,0.5
48636.0,29.940607755,1.0,-377377.75,0.33
48667.0,29.9395970227,3.0,-377357.79,0.72
48696.0,29.9386515519,3.0,-377317.92,0.8
48727.0,29.9376409719,2.0,-377298.46,0.64
48757.0,29.9366630682,1.0,-377270.06,0.18
48788.0,29.9356526454,3.0,-377233.71,0.82
48818.0,29.9346748897,1.0,-377198.41,0.33
48849.0,29.9336646589,1.0,-377167.36,0.34
48880.0,29.9326544965,1.0,-377126.08,0.27
48910.0,29.9316770088,2.0,-377093.25,0.43
48941.0,29.9306670203,2.0,-377074.73,0.32
48971.0,29.9296897239,2.0,-377053.2,0.43
49002.0,29.9286798941,1.0,-377003.97,0.19
49033.0,29.9276701699,1.0,-376970.1,0.14
49061.0,29.9267582255,1.0,-376947.29,0.13
49092.0,29.9257486515,1.0,-376907.69,0.26
49122.0,29.924771741,1.0,-376883.15,0.11
49153.0,29.9237623341,1.0,-376846.6,0.34
49183.0,29.9227855742,1.0,-376816.39,0.21
49214.0,29.9217763596,1.0,-376783.56,0.25
49245.0,29.920767218,1.0,-376751.82,0.23
49275.0,29.919790737,1.0,-376701.73,0.3
49306.0,29.9187818092,1.0,-376683.31,0.18
49336.0,29.9178054891,1.0,-376644.16,0.54
49367.0,29.9167967128,1.0,-376614.53,0.16
49398.0,29.9157880116,1.0,-376592.6,0.11
49426.0,29.914877004,1.0,-376550.95,0.27
49457.0,29.9138684895,1.0,-376519.88,0.24
49487.0,29.9128925783,1.0,-376498.09,0.18
49518.0,29.9118842134,1.0,-376461.61,0.32
49548.0,29.9109084592,1.0,-376431.85,0.12
49579.0,29.9099002557,1.0,-376401.32,0.11
49610.0,29.908892158,1.0,-376367.35,0.2
49640.0,29.9079166517,1.0,-376329.77,0.28
49671.0,29.9069087374,1.0,-376304.54,0.26
49701.0,29.905933413,1.0,-376276.16,0.22
49732.0,29.9049256347,1.0,-376243.73,0.16
49763.0,29.9039179433,1.0,-376215.28,0.28
49791.0,29.9030078525,1.0,-376181.81,0.24
49822.0,29.9020003355,1.0,-376136.91,0.26
49852.0,29.9010254094,1.0,-376115.21,0.12
49883.0,29.9000180591,1.0,-376084.99,0.29
49913.0,29.8990432853,1.0,-376049.33,0.24
49944.0,29.8980360994,1.0,-376018.63,0.18
49975.0,29.8970290157,1.0,-375987.32,0.19
50005.0,29.8960544878,1.0,-375956.92,0.25
50036.0,29.8950475732,1.0,-375937.22,0.34
50066.0,29.8940731973,1.0,-375892.63,0.3
50097.0,29.8930664506,1.0,-375860.0,0.16
50128.0,29.892059773,2.0,-375836.12,0.26
50157.0,29.8911181331,2.0,-375818.33,0.45
50188.0,29.8901116128,2.0,-375765.48,0.62
50218.0,29.8891376393,2.0,-375743.02,0.42
50249.0,29.8881312929,2.0,-375714.9,0.74
50279.0,29.887157837,12.0,-375910.78,2.94
50310.0,29.8861513101,4.0,-375733.9,0.79
50341.0,29.885145003,1.0,-375681.03,0.2
50371.0,29.8841712611,1.0,-375672.28,0.34
50402.0,29.8831651355,1.0,-375623.34,0.4
50432.0,29.8821915647,2.0,-375594.71,0.62
50463.0,29.8811856736,25.0,-375573.01,6.62
50494.0,29.8801797951,8.0,-375513.83,2.68
50522.0,29.8792713232,2.0,-375524.88,0.64
50553.0,29.878265571,5.0,-375495.34,1.41
50583.0,29.8772923271,1.0,-375457.65,0.42
50614.0,29.8762867353,1.0,-375434.0,0.3
50644.0,29.8753136523,1.0,-375403.81,0.43
50675.0,29.8743082009,1.0,-375377.48,0.3
50706.0,29.8733028379,1.0,-375348.7,0.38
50736.0,29.8723299422,24.0,-375360.41,5.72
50767.0,29.8713247473,4.0,-375291.61,1.33
50797.0,29.8703520222,1.0,-375273.77,0.23
50828.0,29.8693469678,4.0,-375266.43,1.0
50859.0,29.8683419369,4.0,-375224.9,1.02
50887.0,29.8674342248,2.0,-375192.85,0.55
50918.0,29.8664293447,3.0,-375160.4,0.86
50948.0,29.8654569487,1.0,-375143.1,0.34
50979.0,29.8644522269,1.0,-375099.37,0.35
51009.0,29.863480003,2.0,-375069.22,0.43
51040.0,29.8624754509,1.0,-375048.97,0.29
51071.0,29.8614709646,1.0,-375028.92,0.32
51101.0,29.860498953,2.0,-374984.14,0.51
51132.0,29.8594946203,2.0,-374957.0,0.71
51162.0,29.8585227585,2.0,-374942.88,0.56
51193.0,29.857518555,1.0,-374903.53,0.33
51224.0,29.8565144363,2.0,-374887.31,0.76
51252.0,29.8556075526,1.0,-374859.82,0.44
51283.0,29.8546035924,2.0,-374819.8,0.54
51313.0,29.8536321012,1.0,-374787.01,0.26
51344.0,29.8526282792,1.0,-374774.06,0.55
51374.0,29.8516569185,2.0,-374732.15,0.48
51405.0,29.8506532555,1.0,-374714.31,0.27
51436.0,29.8496496805,3.0,-374677.45,0.95
51466.0,29.84867858,4.0,-374700.64,0.86
51497.0,29.8476751125,2.0,-374629.14,0.71
51527.0,29.8467040932,1.0,-374612.68,0.37
51558.0,29.8457007754,3.0,-374567.92,0.84
51589.0,29.8446975585,3.0,-374545.55,0.88
51618.0,29.8437591143,1.0,-374529.34,0.26
51649.0,29.8427560295,2.0,-374507.21,0.52
51679.0,29.8417853513,1.0,-374469.96,0.41
51710.0,29.8407824081,2.0,-374441.39,0.56
51740.0,29.8398118889,5.0,-374417.92,0.81
51771.0,29.838809139,21.0,-374490.37,2.3
51802.0,29.8378063425,9.0,-374389.59,1.72
51832.0,29.8368359484,2.0,-374379.64,0.33
51863.0,29.8358332658,1.0,-374340.27,0.37
51893.0,29.834863023,1.0,-374308.34,0.35
51924.0,29.8338605155,1.0,-374288.11,0.4
51955.0,29.8328580721,1.0,-374256.92,0.37
51983.0,29.831952689,2.0,-374239.2,0.61
52014.0,29.8309503578,2.0,-374213.62,1.2
52044.0,29.8299804371,1.0,-374185.89,0.28
52075.0,29.8289782827,3.0,-374148.56,1.39
52105.0,29.8280086943,6.0,-374223.63,1.9
52136.0,29.827006506,2.0,-374156.37,0.73
52167.0,29.826004472,4.0,-374131.09,0.72
52197.0,29.8250347341,3.0,-374113.09,0.93
52228.0,29.8240327562,3.0,-374078.89,0.94
52258.0,29.8230631881,4.0,-374050.09,0.97
52289.0,29.8220613683,4.0,-374017.76,0.87
52320.0,29.8210596457,8.0,-373986.6,0.27
52348.0,29.8201549266,2.0,-373960.63,0.5
52379.0,29.8191533199,3.0,-373941.06,0.95
52409.0,29.8181840981,2.0,-373905.86,0.54
52440.0,29.8171826576,2.0,-373874.18,0.49
52470.0,29.8162135984,2.0,-373863.24,0.41
52501.0,29.8152123201,10.0,-373842.19,2.61
52532.0,29.8142110435,1.0,-373809.73,0.35
52562.0,29.8132421622,3.0,-373777.06,0.87
52593.0,29.8122410972,4.0,-373758.9,1.2
52623.0,29.811272353,2.0,-373736.09,0.4
52654.0,29.8102713888,2.0,-373698.2,0.51
52685.0,29.8092705147,2.0,-373660.6,0.51
52713.0,29.8083665765,5.0,-373631.85,1.35
52744.0,29.8073658516,3.0,-373615.76,0.68
52774.0,29.8063974739,2.0,-373590.85,0.5
52805.0,29.8053968895,1.0,-373557.7,0.39
52835.0,29.804428649,1.0,-373537.79,0.4
52866.0,29.8034282349,2.0,-373501.93,0.49
52897.0,29.8024278709,1.0,-373484.63,0.3
52927.0,29.801459869,1.0,-373440.76,0.18
52958.0,29.8004596799,1.0,-373415.92,0.27
52988.0,29.7994918214,2.0,-373380.76,0.5
53019.0,29.7984917836,2.0,-373364.4,0.46
53050.0,29.7974918106,2.0,-373334.56,0.45
53071.0,29.7968200678,36.0,-375350.8,46.9
53079.0,29.796560615,13.0,-375099.74,11.12
53090.0,29.7962043919,13.0,-374519.36,9.71
53100.0,29.795880951,9.0,-374140.57,8.27
53110.0,29.7955577865,9.0,-373927.71,8.08
53120.0,29.7952348106,5.0,-373709.18,4.1
53133.0,29.7948151184,85.0,-373585.82,2.85
53147.0,29.7943632976,4.0,-373514.22,1.49
53171.0,29.7935888594,2.0,-373442.37,0.7
53201.0,29.7926209462,1.0,-373398.89,0.3
53232.0,29.7916208829,2.0,-373360.9,0.63
53263.0,29.7906210263,3.0,-373339.83,0.62
53293.0,29.7896533932,1.0,-373296.92,0.13
53324.0,29.7886535876,4.0,-373260.54,1.27
53354.0,29.7876861131,1.0,-373236.63,0.35
53385.0,29.7866864844,3.0,-373200.06,0.66
53416.0,29.7856869455,1.0,-373172.83,0.37
53444.0,29.7847841837,1.0,-373157.93,0.23
53475.0,29.7837847868,1.0,-373106.65,0.24
53505.0,29.7828176989,1.0,-373098.04,0.2
53536.0,29.7818184479,2.0,-373045.3,0.71
53566.0,29.7808515419,1.0,-373038.9,0.32
53597.0,29.7798524524,1.0,-372992.36,0.25
53628.0,29.7788534525,1.0,-372972.07,0.25
53658.0,29.7778867428,1.0,-372940.45,0.3
53689.0,29.7768878849,1.0,-372924.54,0.22
53719.0,29.7759213143,1.0,-372886.52,0.25
53750.0,29.7749226318,1.0,-372854.62,0.22
53781.0,29.7739240139,1.0,-372823.7,0.41
53809.0,29.7730221322,2.0,-372781.53,0.43
53840.0,29.7720236723,2.0,-372768.18,0.64
53870.0,29.7710575072,1.0,-372742.3,0.31
53901.0,29.7700592199,1.0,-372701.3,0.39
53931.0,29.7690932051,1.0,-372674.61,0.35
53962.0,29.7680950849,1.0,-372643.97,0.37
53993.0,29.7670971393,1.0,-372648.07,0.38
54023.0,29.7661313086,1.0,-372602.1,0.27
54054.0,29.7651333771,1.0,-372569.5,0.21
54084.0,29.7641676923,2.0,-372543.28,0.51
54115.0,29.7631699208,1.0,-372512.31,0.22
54146.0,29.7621722439,2.0,-372474.85,0.48
54174.0,29.7612711958,2.0,-372456.31,0.42
54205.0,29.7602736634,2.0,-372428.87,0.45
54235.0,29.759308394,1.0,-372384.95,0.23
54266.0,29.7583110169,2.0,-372356.11,0.54
54296.0,29.7573459007,1.0,-372327.64,0.22
54327.0,29.7563487138,2.0,-372283.61,0.44
54358.0,29.7553516229,1.0,-372253.68,0.3
54388.0,29.7543867527,2.0,-372242.27,0.44
54419.0,29.7533898037,2.0,-372196.17,0.43
54449.0,29.7524250936,1.0,-372171.57,0.32
54480.0,29.7514283219,1.0,-372137.76,0.36
54511.0,29.7504316128,1.0,-372104.02,0.22
54540.0,29.7494993041,2.0,-372069.76,0.4
54571.0,29.7485027712,2.0,-372056.92,0.53
54601.0,29.7475385068,2.0,-372027.91,0.52
54632.0,29.7465421238,1.0,-371990.5,0.32
54662.0,29.7455779667,1.0,-371958.86,0.41
54693.0,29.7445817491,1.0,-371941.95,0.33
54724.0,29.743585603,1.0,-371896.87,0.4
54754.0,29.7426216895,1.0,-371865.47,0.2
54785.0,29.7416257244,2.0,-371845.65,0.51
54815.0,29.7406619697,1.0,-371794.02,0.27
54846.0,29.739666166,1.0,-371784.76,0.34
54877.0,29.7386704404,1.0,-371735.72,0.36
54905.0,29.7377711775,1.0,-371708.68,0.33
54936.0,29.7367756373,1.0,-371687.97,0.31
54966.0,29.7358122506,1.0,-371655.19,0.39
54997.0,29.7348168586,2.0,-371619.73,0.49
55027.0,29.7338536727,1.0,-371595.32,0.29
55058.0,29.7328584419,2.0,-371554.6,0.47
55089.0,29.7318632944,1.0,-371532.98,0.35
55119.0,29.7309003257,1.0,-371509.21,0.28
55150.0,29.7299053206,2.0,-371469.11,0.61
55180.0,29.7289425105,2.0,-371435.8,0.51
55211.0,29.7279476972,2.0,-371401.32,0.52
55242.0,29.7269529849,5.0,-371370.63,1.05
55270.0,29.7260546093,3.0,-371343.16,0.72
55301.0,29.725060066,7.0,-371319.89,2.14
55331.0,29.724097642,2.0,-371288.61,0.41
55362.0,29.723103249,3.0,-371245.08,0.88
55392.0,29.722141019,1.0,-371219.32,0.32
55423.0,29.7211467767,2.0,-371178.49,0.65
55454.0,29.7201526255,1.0,-371170.77,0.35
55484.0,29.719190611,2.0,-371124.25,0.56
55515.0,29.7181966264,2.0,-371097.39,0.52
55545.0,29.7172347722,2.0,-371060.62,0.58
55576.0,29.7162409632,2.0,-371034.58,0.52
55607.0,29.7152472294,2.0,-371002.52,0.72
55635.0,29.7143497326,3.0,-370976.12,0.74
55666.0,29.7133561691,1.0,-370930.43,0.38
55696.0,29.7123947286,2.0,-370923.26,0.46
55727.0,29.711401311,5.0,-370871.81,0.87
55757.0,29.7104400435,3.0,-370843.5,0.49
55788.0,29.7094468147,2.0,-370814.8,0.42
55814.0,29.7086138502,3.0,-370781.92,1.69
55830.0,29.7081013058,9.0,-370798.13,3.33
55849.0,29.7074926424,1.0,-370762.89,0.23
55870.0,29.7068199547,6.0,-370744.02,5.59
55878.0,29.7065650632,3.0,-371353.97,28.3
55889.0,29.7062121208,9.0,-371201.98,6.6
55910.0,29.705539033,7.0,-370843.37,1.06
55941.0,29.7045458881,3.0,-370746.21,0.42
55972.0,29.7035529176,1.0,-370724.16,0.24
56001.0,29.7026240694,2.0,-370690.59,0.31
56032.0,29.7016312473,2.0,-370663.39,0.23
56062.0,29.7006705246,1.0,-370633.95,0.15
56093.0,29.6996778653,4.0,-370595.21,0.72
56123.0,29.6987173282,3.0,-370547.08,0.68
56154.0,29.6977248581,3.0,-370532.11,0.49
56185.0,29.6967324409,5.0,-370520.93,0.76
56215.0,29.6957720714,2.0,-370494.71,0.52
56246.0,29.6947797998,13.0,-370438.25,1.05
56276.0,29.6938196276,3.0,-370430.01,0.73
56307.0,29.6928275084,2.0,-370403.39,0.35
56338.0,29.6918354749,3.0,-370369.4,0.49
56366.0,29.6909395214,1.0,-370342.98,0.23
56397.0,29.6899476284,2.0,-370312.33,0.48
56427.0,29.6889878356,2.0,-370263.62,0.38
56458.0,29.6879961432,1.0,-370251.73,0.28
56488.0,29.6870364987,2.0,-370216.46,0.34
56519.0,29.6860449331,2.0,-370188.44,0.39
56550.0,29.685053449,2.0,-370153.75,0.42
56580.0,29.684094034,8.0,-370136.15,1.02
56611.0,29.683102728,1.0,-370089.62,0.27
56641.0,29.6821434696,2.0,-370068.03,0.24
56672.0,29.681152335,3.0,-370025.55,0.42
56703.0,29.6801612863,4.0,-370008.05,0.56
56731.0,29.6792662164,3.0,-369979.79,0.24
56762.0,29.6782753175,3.0,-369942.92,0.51
56792.0,29.677316466,11.0,-369912.92,0.5
56823.0,29.6763257241,4.0,-369881.41,0.42
56853.0,29.6753670319,2.0,-369844.1,0.38
56884.0,29.6743764658,3.0,-369826.19,0.31
56915.0,29.6733859766,4.0,-369771.26,0.57
56945.0,29.6724275409,4.0,-369774.43,0.47
56976.0,29.6714372002,2.0,-369730.03,0.21
57006.0,29.6704788923,3.0,-369701.57,0.36
57037.0,29.6694887477,3.0,-369666.17,0.33
57068.0,29.6684986853,3.0,-369636.52,0.35
57096.0,29.6676045101,10.0,-369602.59,0.55
57127.0,29.6666146069,4.0,-369571.63,0.44
57157.0,29.6656567369,3.0,-369534.65,0.39
57188.0,29.6646670175,8.0,-369511.39,0.59
57218.0,29.6637093027,4.0,-369473.91,0.43
57249.0,29.6627197446,2.0,-369437.95,0.22
57280.0,29.6617302702,5.0,-369416.08,0.42
57310.0,29.6607727973,2.0,-369377.15,0.25
57341.0,29.6597835062,10.0,-369339.17,0.2
57371.0,29.6588262212,3.0,-369305.2,0.41
57402.0,29.6578371106,2.0,-369278.39,0.36
57433.0,29.6568480564,3.0,-369252.11,0.28
57462.0,29.6559228869,3.0,-369218.53,0.46
57493.0,29.6549339962,3.0,-369189.79,0.51
57523.0,29.653977093,1.0,-369164.05,0.19
57554.0,29.6529883697,3.0,-369124.15,0.76
57584.0,29.6520316261,2.0,-369100.37,0.09
57615.0,29.6510430606,2.0,-369067.63,0.37
57646.0,29.6500545865,2.0,-369032.61,0.32
57676.0,29.6490980877,2.0,-369010.1,0.25
57700.0,29.6483329412,5.0,-368981.97,1.63
57715.0,29.6478547456,4.0,-368970.96,1.28
57737.0,29.6471534323,1.0,-368942.9,0.19
57768.0,29.6461653007,2.0,-368912.64,0.36
57799.0,29.645177265,3.0,-368879.38,0.39
57827.0,29.6442849302,4.0,-368842.49,0.66
57858.0,29.6432970649,3.0,-368812.11,0.45
57888.0,29.6423411347,2.0,-368789.19,0.25
57919.0,29.6413534098,3.0,-368751.69,0.36
57949.0,29.6403976378,1.0,-368730.41,0.25
57980.0,29.6394100772,2.0,-368702.11,0.26
58011.0,29.6384226073,1.0,-368658.13,0.28
58041.0,29.6374670598,2.0,-368635.67,0.22
58061.0,29.6368300767,3.0,-368616.01,5.19
58068.0,29.6366215237,72.0,-369626.33,106.3
58079.0,29.6362691342,8.0,-370857.08,4.12
58095.0,29.6357567627,7.0,-370375.12,5.53
58111.0,29.6352450494,6.0,-369986.53,3.81
58126.0,29.6347657206,4.0,-369737.21,2.24
58142.0,29.634254776,5.0,-369489.49,3.96
58157.0,29.6337760165,2.0,-369362.12,0.73
58173.0,29.6332654878,2.0,-369259.44,0.81
58185.0,29.6328827,1.0,-369161.97,0.49
58201.0,29.632372396,3.0,-369117.25,1.64
58223.0,29.6316708942,2.0,-369005.25,0.49
58253.0,29.6307145923,2.0,-368922.65,0.75
58284.0,29.6297265847,6.0,-368847.53,0.57
58314.0,29.6287705852,6.0,-368797.69,1.12
58345.0,29.6277828843,2.0,-368752.73,0.51
58376.0,29.6267952979,2.0,-368702.4,0.32
58406.0,29.6258397011,2.0,-368657.97,0.47
58437.0,29.6248523408,3.0,-368618.75,0.71
58461.0,29.6240879972,2.0,-368608.37,0.74
58476.0,29.6236103456,5.0,-368596.16,2.85
58498.0,29.6229097806,3.0,-368538.75,0.79
58529.0,29.6219227082,2.0,-368513.73,0.51
58557.0,29.6210312507,1.0,-368473.25,0.3
58588.0,29.6200443519,1.0,-368446.48,0.18
58618.0,29.6190893801,2.0,-368410.29,0.27
58649.0,29.6181026545,1.0,-368399.06,0.18
58679.0,29.6171478268,3.0,-368348.43,0.44
58691.0,29.6167668632,18.0,-369075.72,7.41
58703.0,29.6163845016,5.0,-368553.11,3.57
58719.0,29.6158751339,1.0,-368416.81,0.79
58741.0,29.6151748935,1.0,-368362.25,0.26
58771.0,29.6142201603,4.0,-368310.98,0.64
58802.0,29.61323373,2.0,-368282.65,0.28
58832.0,29.6122791665,7.0,-368261.12,0.37
58863.0,29.6112928558,2.0,-368218.49,0.15
58894.0,29.6103066525,5.0,-368195.76,0.42
58917.0,29.6095750017,2.0,-368174.57,0.68
58984.0,29.6074439372,2.0,-368087.11,0.44
59015.0,29.6064580737,2.0,-368064.26,0.33
59045.0,29.6055040909,2.0,-368032.24,0.39
59076.0,29.6045183898,1.0,-368016.47,0.21
59107.0,29.6035327371,4.0,-367981.1,0.44
59137.0,29.6025789704,3.0,-367953.49,0.46
59168.0,29.6015934905,2.0,-367917.16,0.32
59198.0,29.6006398893,2.0,-367887.09,0.39
59229.0,29.5996545969,2.0,-367859.8,0.38
59260.0,29.5986693685,1.0,-367822.93,0.27
59288.0,29.5977795625,3.0,-367790.83,0.5
59319.0,29.5967945031,2.0,-367768.61,0.28
59349.0,29.5958412948,3.0,-367733.95,0.59
59380.0,29.5948563919,1.0,-367701.37,0.22
59410.0,29.5939033392,1.0,-367686.33,0.23
59441.0,29.5929185907,2.0,-367646.93,0.32
59472.0,29.5919339277,2.0,-367623.29,0.37
59502.0,29.5909810876,2.0,-367591.73,0.39
59533.0,29.5899965796,3.0,-367557.68,0.4
59563.0,29.5890439125,1.0,-367527.57,0.22
59594.0,29.5880595777,1.0,-367485.57,0.15
59625.0,29.5870753196,3.0,-367469.61,0.36
59653.0,29.5861863819,4.0,-367434.35,0.61
59684.0,29.5852022751,4.0,-367410.58,0.73
59714.0,29.58425001,1.0,-367373.09,0.22
59745.0,29.583266082,2.0,-367343.53,0.28
59775.0,29.582313949,2.0,-367322.32,0.29
59806.0,29.581330165,1.0,-367279.39,0.2
59837.0,29.5803464731,2.0,-367249.13,0.47
59867.0,29.5793945772,1.0,-367226.21,0.14
59898.0,29.5784110377,2.0,-367198.8,0.19
59928.0,29.5774593,2.0,-367162.62,0.26
59959.0,29.5764759344,2.0,-367134.85,0.25
59990.0,29.5754926582,2.0,-367090.34,0.25
60018.0,29.574604616,1.0,-367076.3,0.16
60049.0,29.5736214961,2.0,-367033.3,0.23
60079.0,29.5726701636,4.0,-367017.22,0.58
60110.0,29.5716872253,1.0,-366963.4,0.17
60140.0,29.570736072,1.0,-366946.32,0.41
60171.0,29.5697532641,2.0,-366922.01,0.5
60202.0,29.5687705367,1.0,-366890.68,0.22
60232.0,29.5678195782,3.0,-366856.96,0.36
60263.0,29.5668370203,8.0,-366824.34,0.5
60293.0,29.5658862568,1.0,-366800.54,0.16
60324.0,29.5649038871,1.0,-366755.07,0.21
60355.0,29.563921603,3.0,-366727.76,0.49
60384.0,29.5630027537,1.0,-366709.1,0.24
60415.0,29.5620206246,2.0,-366668.27,0.29
60445.0,29.5610702574,1.0,-366642.71,0.17
60476.0,29.5600882689,1.0,-366617.9,0.14
60506.0,29.559138041,2.0,-366579.74,0.33
60537.0,29.5581562504,1.0,-366543.5,0.14
60568.0,29.5571745103,1.0,-366530.07,0.22
60598.0,29.556224518,1.0,-366489.58,0.18
60629.0,29.5552429346,1.0,-366471.31,0.14
60659.0,29.5542931002,2.0,-366420.42,0.37
60690.0,29.5533117036,2.0,-366404.3,0.34
60721.0,29.5523303683,8.0,-366372.95,0.43
60749.0,29.5514441023,2.0,-366334.34,0.26
60780.0,29.5504629504,3.0,-366309.22,0.5
60801.0,29.5497983395,2.0,-366285.01,0.85
60816.0,29.5493235749,7.0,-366301.46,1.76
60841.0,29.5485324558,5.0,-366238.15,0.57
60864.0,29.5478046876,1.0,-366216.51,0.48
60880.0,29.5472984581,3.0,-366224.09,1.26
60890.0,29.5469820488,5.0,-366199.24,8.0
60905.0,29.5465074802,6.0,-366208.25,1.33
60933.0,29.5456216243,2.0,-366164.02,0.25
60963.0,29.5446725762,1.0,-366124.77,0.19
60994.0,29.543691985,3.0,-366090.45,0.5
61024.0,29.5427431146,1.0,-366061.35,0.15
61055.0,29.5417626912,2.0,-366029.91,0.28
61086.0,29.5407823356,1.0,-366011.02,0.16
61114.0,29.539896948,1.0,-365972.01,0.19
61145.0,29.5389167603,4.0,-365941.75,0.4
61175.0,29.5379682824,4.0,-365917.03,0.6
