tau_days,nudot_rec_s2
0.25,-3.527368e-12
0.264904,-3.417009e-12
0.280697,-3.304421e-12
0.297431,-3.189815e-12
0.315163,-3.073429e-12
0.333952,-2.955527e-12
0.353861,-2.836404e-12
0.374957,-2.716380e-12
0.397311,-2.595801e-12
0.420998,-2.475039e-12
0.446096,-2.354486e-12
0.472691,-2.234554e-12
0.500871,-2.115670e-12
0.530732,-1.998272e-12
0.562372,-1.882805e-12
0.595899,-1.769711e-12
0.631425,-1.659428e-12
0.669068,-1.552380e-12
0.708956,-1.448970e-12
0.751222,-1.349573e-12
0.796007,-1.254529e-12
0.843463,-1.164134e-12
0.893747,-1.078635e-12
0.94703,-9.982235e-13
1.00349,-9.230308e-13
1.06331,-8.531235e-13
1.1267,-7.885025e-13
1.19388,-7.291025e-13
1.26505,-6.747935e-13
1.34047,-6.253849e-13
1.42038,-5.806307e-13
1.50506,-5.402377e-13
1.59479,-5.038735e-13
1.68987,-4.711778e-13
1.79061,-4.417727e-13
1.89736,-4.152742e-13
2.01047,-3.913032e-13
2.13033,-3.694959e-13
2.25734,-3.495127e-13
2.39191,-3.310450e-13
2.53451,-3.138214e-13
2.68561,-2.976101e-13
2.84572,-2.822206e-13
3.01537,-2.675026e-13
3.19514,-2.533436e-13
3.38562,-2.396653e-13
3.58746,-2.264186e-13
3.80133,-2.135786e-13
4.02796,-2.011394e-13
4.26809,-1.891087e-13
4.52254,-1.775038e-13
4.79216,-1.663470e-13
5.07785,-1.556623e-13
5.38058,-1.454731e-13
5.70135,-1.357995e-13
6.04125,-1.266573e-13
6.40141,-1.180564e-13
6.78304,-1.100005e-13
7.18742,-1.024864e-13
7.61592,-9.550429e-14
8.06995,-8.903785e-14
8.55106,-8.306462e-14
9.06084,-7.755686e-14
9.60102,-7.248236e-14
10.1734,-6.780552e-14
10.7799,-6.348850e-14
11.4226,-5.949246e-14
12.1036,-5.577871e-14
12.8251,-5.230993e-14
13.5897,-4.905116e-14
14.3999,-4.597073e-14
15.2584,-4.304087e-14
16.168,-4.023821e-14
17.1319,-3.754396e-14
18.1533,-3.494392e-14
19.2355,-3.242827e-14
20.3823,-2.999116e-14
21.5974,-2.763021e-14
22.885,-2.534595e-14
24.2493,-2.314112e-14
25.695,-2.102010e-14
27.2268,-1.898831e-14
28.85,-1.705162e-14
30.5699,-1.521593e-14
32.3924,-1.348672e-14
34.3236,-1.186876e-14
36.3698,-1.036583e-14
38.5381,-8.980528e-15
40.8356,-7.714149e-15
43.2701,-6.566590e-15
45.8497,-5.536335e-15
48.5831,-4.620474e-15
51.4795,-3.814773e-15
54.5485,-3.113793e-15
57.8005,-2.511042e-15
61.2464,-1.999161e-15
64.8977,-1.570142e-15
68.7667,-1.215559e-15
72.8664,-9.267998e-16
77.2105,-6.953020e-16
81.8135,-5.127671e-16
86.691,-3.713490e-16
91.8592,-2.638091e-16
97.3356,-1.836305e-16
103.138,-1.250890e-16
109.287,-8.328256e-17
115.803,-5.411986e-17
122.706,-3.427672e-17
