n_qpe,t_obs_s,t_err_s,t_calc_s,instrument
0,732.69,35.87,732.69,xmm
1,8739.45,167.72,8788.40,xmm
2,16830.53,39.51,16844.11,xmm
3,24781.40,37.43,24899.82,xmm
4,33033.59,35.66,32955.53,xmm
5,41185.92,29.17,41011.24,xmm
6,49251.53,52.84,49066.95,xmm
7,57195.27,20.94,57122.66,xmm
22,177196.76,439.30,177958.30,xrt
29,234335.95,439.30,234348.27,xrt
34,273254.13,439.30,274626.82,nicer
36,289634.68,300.00,290738.24,xrt
45,362394.13,439.30,363239.62,nicer
65,523958.62,31.83,524353.81,xmm
66,531892.37,27.13,532409.52,xmm
67,539934.91,27.59,540465.23,xmm
68,548024.16,27.16,548520.94,xmm
69,556009.37,25.62,556576.65,xmm
121,975273.71,439.30,975473.55,nicer
182,1466300.33,150.00,1466871.84,xrt
198,1595954.82,32.10,1595763.19,xmm
199,1603974.79,20.27,1603818.90,xmm
200,1611967.02,21.89,1611874.61,xmm
201,1620077.86,24.75,1619930.32,xmm
202,1627782.69,439.30,1627986.03,nicer
204,1644134.58,200.00,1644097.45,nicer
213,1716576.54,100.00,1716598.84,nicer
222,1788839.48,439.30,1789100.22,nicer
229,1845185.55,200.00,1845490.19,nicer
230,1852571.47,1000.00,1853545.90,xrt
323,2604787.86,29.48,2602726.89,xmm
324,2612822.99,21.27,2610782.60,xmm
